Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag
0.000,-0.86,-16.69,-5.83,-0.3414,0.2316,-1.0178,-1.0275,-0.1143,-1.1279
0.000,2.22,53.05,-22.73,-0.3602,0.2969,-1.0358,-0.9769,-0.2494,-1.1287
0.000,39.90,-36.60,-2.90,0.0325,0.0124,-1.1937,0.0010,-0.4996,-1.2547
0.000,-29.47,-10.71,-0.99,0.0972,-0.0399,-1.0863,0.0534,-0.7572,-1.1845
0.000,-17.64,32.02,4.56,0.1790,-0.0450,-1.1250,-0.0485,-0.5314,-1.1657
0.000,-70.58,2.48,26.33,0.2913,0.2264,-1.1636,0.2633,-0.2306,-1.2791
0.000,-15.61,12.71,-8.88,0.1492,0.1381,-1.1319,-0.2509,-0.2297,-1.2726
0.000,-13.69,25.37,-56.54,0.1761,0.1401,-1.2068,0.0900,-0.3666,-1.2662
0.000,-7.26,7.15,-38.93,0.1381,0.0443,-1.1334,0.4746,-0.4874,-1.1914
0.000,10.83,1.00,-22.52,0.1564,0.0699,-1.0745,0.6798,-0.3612,-1.1756
0.000,7.91,-1.36,-13.31,0.2467,0.0473,-1.0606,0.9431,-0.1107,-1.0618
0.000,-13.58,-2.91,13.24,0.1743,0.0469,-1.0751,0.8391,-0.2075,-1.1687
0.000,10.47,3.48,2.32,0.1168,-0.0247,-1.1520,0.7512,-0.2594,-1.2344
0.000,37.71,-21.89,18.80,0.2737,0.0934,-1.3091,0.7572,-0.1580,-1.1675
0.000,9.06,4.79,-13.98,0.0769,0.0573,-1.1303,0.7795,0.0715,-1.1776
0.000,32.02,26.50,-39.45,0.2256,0.2401,-1.2042,0.7880,0.4567,-1.1111
0.000,-7.30,4.44,-35.50,0.0153,0.1973,-1.1598,0.4106,0.5614,-1.1459
0.000,30.60,-4.53,5.84,-0.0139,0.1810,-0.8607,0.2602,0.6824,-1.1005
0.000,21.47,-11.26,-14.24,0.0851,0.0824,-1.2497,0.0995,0.8147,-1.0439
0.000,-1.18,-1.51,-23.93,0.0990,0.1728,-1.1534,0.1267,0.7555,-1.0237
0.000,9.66,13.47,-19.95,0.2033,0.0781,-1.1576,0.0766,0.7505,-1.0329
0.000,1.96,-11.82,11.40,-0.0001,0.2903,-1.1134,0.2556,0.7411,-1.0170
0.000,-10.26,-32.34,11.39,0.0018,-0.0266,-1.1420,0.3255,0.5988,-0.9929
0.000,-10.62,8.39,34.65,0.0427,0.0282,-1.1295,0.4488,0.4909,-1.0888
0.000,-7.24,4.66,5.25,0.0535,0.2109,-1.0716,0.8244,0.4356,-0.9852
0.000,-7.13,1.86,-3.36,0.1215,0.2464,-1.0834,0.8626,0.4834,-0.8573
0.000,-7.07,2.93,5.89,0.1296,0.2416,-1.0541,0.9249,0.4436,-0.8700
0.000,-2.64,0.28,1.11,0.1808,0.2270,-1.0727,0.9426,0.4126,-0.8799
0.000,-3.14,-0.20,0.81,0.1293,0.2222,-1.0818,0.8885,0.4509,-0.9532
0.000,-0.79,1.24,-1.10,0.1310,0.2452,-1.0775,0.8946,0.4643,-0.9145
0.000,3.66,-1.80,-1.17,0.1246,0.2238,-1.0647,0.9127,0.4746,-0.9225
0.000,1.52,0.42,-1.02,0.1396,0.2323,-1.0605,0.8965,0.5126,-0.9477
0.000,-0.02,0.76,-2.18,0.1392,0.2530,-1.0741,0.8912,0.4509,-0.9145
0.000,6.79,4.18,-26.78,0.1781,0.2735,-1.0784,0.8569,0.4400,-0.9394
