
$PCHRH,886.848,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,886.849,0.000,0.000,0.000,-269.11,-88.52,291.79,*7A
$PCHRR,886.849,0.00,0.00,0.00,-0.41,0.02,0.00,*5C
$PCHRG,886.849,0.000000,0.000000,0.000,-269.11,-88.52,291.79,*6D

$PCHRH,886.848,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,886.849,0.000,0.000,0.000,-269.11,-88.52,291.79,*7A
$PCHRR,886.849,0.00,0.00,0.00,-0.41,0.02,0.00,*5C
$PCHRG,886.849,0.000000,0.000000,0.000,-269.11,-88.52,291.79,*6D

$PCHRH,886.848,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,886.849,0.000,0.000,0.000,-269.11,-88.52,291.79,*7A
$PCHRR,886.849,0.00,0.00,0.00,-0.41,0.02,0.00,*5C
$PCHRG,886.849,0.000000,0.000000,0.000,-269.11,-88.52,291.79,*6D

$PCHRH,887.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,887.849,0.000,0.000,0.000,-269.01,-88.51,291.86,*79
$PCHRR,887.849,0.00,0.00,0.00,2.12,0.03,0.00,*75
$PCHRG,887.849,0.000000,0.000000,0.000,-269.01,-88.51,291.86,*6E


$PCHRH,887.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,887.849,0.000,0.000,0.000,-269.01,-88.51,291.86,*79
$PCHRR,887.849,0.00,0.00,0.00,2.12,0.03,0.00,*75
$PCHRG,887.849,0.000000,0.000000,0.000,-269.01,-88.51,291.86,*6E


$PCHRH,887.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,887.849,0.000,0.000,0.000,-269.01,-88.51,291.86,*79
$PCHRR,887.849,0.00,0.00,0.00,2.12,0.03,0.00,*75
$PCHRG,887.849,0.000000,0.000000,0.000,-269.01,-88.51,291.86,*6E


$PCHRH,887.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,887.849,0.000,0.000,0.000,-269.01,-88.51,291.86,*79
$PCHRR,887.849,0.00,0.00,0.00,2.12,0.03,0.00,*75
$PCHRG,887.849,0.000000,0.000000,0.000,-269.01,-88.51,291.86,*6E


$PCHRH,887.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,887.849,0.000,0.000,0.000,-269.01,-88.51,291.86,*79
$PCHRR,887.849,0.00,0.00,0.00,2.12,0.03,0.00,*75
$PCHRG,887.849,0.000000,0.000000,0.000,-269.01,-88.51,291.86,*6E


$PCHRH,887.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,887.849,0.000,0.000,0.000,-269.01,-88.51,291.86,*79
$PCHRR,887.849,0.00,0.00,0.00,2.12,0.03,0.00,*75
$PCHRG,887.849,0.000000,0.000000,0.000,-269.01,-88.51,291.86,*6E


$PCHRH,887.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,887.849,0.000,0.000,0.000,-269.01,-88.51,291.86,*79
$PCHRR,887.849,0.00,0.00,0.00,2.12,0.03,0.00,*75
$PCHRG,887.849,0.000000,0.000000,0.000,-269.01,-88.51,291.86,*6E


$PCHRH,887.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,887.849,0.000,0.000,0.000,-269.01,-88.51,291.86,*79
$PCHRR,887.849,0.00,0.00,0.00,2.12,0.03,0.00,*75
$PCHRG,887.849,0.000000,0.000000,0.000,-269.01,-88.51,291.86,*6E


$PCHRH,887.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,887.849,0.000,0.000,0.000,-269.01,-88.51,291.86,*79
$PCHRR,887.849,0.00,0.00,0.00,2.12,0.03,0.00,*75
$PCHRG,887.849,0.000000,0.000000,0.000,-269.01,-88.51,291.86,*6E


$PCHRH,887.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*73
$PCHRP,887.849,0.000,0.000,0.000,-269.01,-88.51,291.86,*79
$PCHRR,887.849,0.00,0.00,0.00,2.12,0.03,0.00,*75
$PCHRG,887.849,0.000000,0.000000,0.000,-269.01,-88.51,291.86,*6E


$PCHRH,888.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*7C
$PCHRP,888.849,0.000,0.000,0.000,-269.21,-88.50,291.97,*75
$PCHRR,888.849,0.00,0.00,0.00,2.16,0.00,0.00,*7D
$PCHRG,888.849,0.000000,0.000000,0.000,-269.21,-88.50,291.97,*62


$PCHRH,888.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*7C
$PCHRP,888.849,0.000,0.000,0.000,-269.21,-88.50,291.97,*75
$PCHRR,888.849,0.00,0.00,0.00,2.16,0.00,0.00,*7D
$PCHRG,888.849,0.000000,0.000000,0.000,-269.21,-88.50,291.97,*62


$PCHRH,888.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*7C
$PCHRP,888.849,0.000,0.000,0.000,-269.21,-88.50,291.97,*75
$PCHRR,888.849,0.00,0.00,0.00,2.16,0.00,0.00,*7D
$PCHRG,888.849,0.000000,0.000000,0.000,-269.21,-88.50,291.97,*62


$PCHRH,888.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*7C
$PCHRP,888.849,0.000,0.000,0.000,-269.21,-88.50,291.97,*75
$PCHRR,888.849,0.00,0.00,0.00,2.16,0.00,0.00,*7D
$PCHRG,888.849,0.000000,0.000000,0.000,-269.21,-88.50,291.97,*62


$PCHRH,888.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*7C
$PCHRP,888.849,0.000,0.000,0.000,-269.21,-88.50,291.97,*75
$PCHRR,888.849,0.00,0.00,0.00,2.16,0.00,0.00,*7D
$PCHRG,888.849,0.000000,0.000000,0.000,-269.21,-88.50,291.97,*62


$PCHRH,888.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*7C
$PCHRP,888.849,0.000,0.000,0.000,-269.21,-88.50,291.97,*75
$PCHRR,888.849,0.00,0.00,0.00,2.16,0.00,0.00,*7D
$PCHRG,888.849,0.000000,0.000000,0.000,-269.21,-88.50,291.97,*62


$PCHRH,888.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*7C
$PCHRP,888.849,0.000,0.000,0.000,-269.21,-88.50,291.97,*75
$PCHRR,888.849,0.00,0.00,0.00,2.16,0.00,0.00,*7D
$PCHRG,888.849,0.000000,0.000000,0.000,-269.21,-88.50,291.97,*62


$PCHRH,888.849,00,00,0.0,0,0,0,0,0,0,0,0,0,*7C
